[s],CH2[V]
-4.1616E-02,2.5744673101E-02
-4.1610E-02,2.3916546235E-02
-4.1605E-02,2.4814010967E-02
-4.1600E-02,2.5145794254E-02
-4.1595E-02,2.3669525519E-02
-4.1590E-02,2.3508182902E-02
-4.1585E-02,2.4434477208E-02
-4.1580E-02,2.4889150965E-02
-4.1575E-02,2.5902420367E-02
-4.1569E-02,2.5440479612E-02
-4.1564E-02,2.6314865426E-02
-4.1559E-02,2.5681320518E-02
-4.1554E-02,2.5022636756E-02
-4.1549E-02,2.5049930914E-02
-4.1544E-02,2.6131531079E-02
-4.1539E-02,2.6024271331E-02
-4.1534E-02,2.5404487944E-02
-4.1529E-02,2.3787065876E-02
-4.1523E-02,2.6720491714E-02
-4.1518E-02,2.7271276766E-02
-4.1513E-02,2.4922577249E-02
-4.1508E-02,2.5935074174E-02
-4.1503E-02,2.5232206682E-02
-4.1498E-02,2.5457884167E-02
-4.1493E-02,2.5898004855E-02
-4.1488E-02,2.4891668665E-02
-4.1482E-02,2.5721374838E-02
-4.1477E-02,2.5331674911E-02
-4.1472E-02,2.6294876413E-02
-4.1467E-02,2.7536979961E-02
-4.1462E-02,2.4937492715E-02
-4.1457E-02,2.5434585904E-02
-4.1452E-02,2.5751386968E-02
-4.1447E-02,2.4989382133E-02
-4.1441E-02,2.4640175217E-02
-4.1436E-02,2.7503649045E-02
-4.1431E-02,2.7367130569E-02
-4.1426E-02,2.6645399400E-02
-4.1421E-02,2.6928049387E-02
-4.1416E-02,2.5575872751E-02
-4.1411E-02,2.6851860348E-02
-4.1406E-02,2.6440283132E-02
-4.1401E-02,2.6719127959E-02
-4.1395E-02,2.5211521487E-02
-4.1390E-02,2.4932648049E-02
-4.1385E-02,2.6974245370E-02
-4.1380E-02,2.6302248315E-02
-4.1375E-02,2.7672439858E-02
-4.1370E-02,2.6300436334E-02
-4.1365E-02,2.6978985131E-02
-4.1360E-02,2.7491432477E-02
-4.1354E-02,2.7907873432E-02
-4.1349E-02,2.8966852442E-02
-4.1344E-02,2.8373905449E-02
-4.1339E-02,2.9338623293E-02
-4.1334E-02,2.9144493353E-02
-4.1329E-02,2.9423586136E-02
-4.1324E-02,3.2965513394E-02
-4.1319E-02,2.8671642564E-02
-4.1313E-02,2.9235731373E-02
-4.1308E-02,3.1743246271E-02
-4.1303E-02,3.3653932721E-02
-4.1298E-02,3.0958038540E-02
-4.1293E-02,3.0960661144E-02
